CL,Tau_in,Rise Time,Fall Time,t_HL,t_LH
6.000000e-15,1.400000e-10,1.755000e-10,1.720000e-10,1.385000e-10,1.135000e-10
6.000000e-15,1.500000e-10,1.795000e-10,1.760000e-10,1.410000e-10,1.165000e-10
6.000000e-15,1.600000e-10,1.835000e-10,1.805000e-10,1.435000e-10,1.190000e-10
6.000000e-15,1.700000e-10,1.875000e-10,1.840000e-10,1.460000e-10,1.220000e-10
6.000000e-15,1.800000e-10,1.915000e-10,1.885000e-10,1.485000e-10,1.245000e-10
6.000000e-15,1.900000e-10,1.960000e-10,1.915000e-10,1.505000e-10,1.265000e-10
6.000000e-15,2.000000e-10,1.995000e-10,1.955000e-10,1.530000e-10,1.295000e-10
6.000000e-15,2.100000e-10,2.035000e-10,1.995000e-10,1.555000e-10,1.320000e-10
6.000000e-15,2.200000e-10,2.075000e-10,2.030000e-10,1.575000e-10,1.340000e-10
6.000000e-15,2.300000e-10,2.115000e-10,2.070000e-10,1.595000e-10,1.365000e-10
6.000000e-15,2.400000e-10,2.155000e-10,2.105000e-10,1.615000e-10,1.390000e-10
6.000000e-15,2.500000e-10,2.190000e-10,2.145000e-10,1.635000e-10,1.410000e-10
6.000000e-15,2.600000e-10,2.230000e-10,2.185000e-10,1.655000e-10,1.430000e-10
6.000000e-15,2.700000e-10,2.275000e-10,2.220000e-10,1.675000e-10,1.455000e-10
6.000000e-15,2.800000e-10,2.315000e-10,2.260000e-10,1.695000e-10,1.475000e-10
6.000000e-15,2.900000e-10,2.355000e-10,2.300000e-10,1.715000e-10,1.495000e-10
6.000000e-15,3.000000e-10,2.395000e-10,2.335000e-10,1.735000e-10,1.515000e-10
6.000000e-15,3.100000e-10,2.435000e-10,2.370000e-10,1.750000e-10,1.535000e-10
6.000000e-15,3.200000e-10,2.475000e-10,2.415000e-10,1.770000e-10,1.560000e-10
6.000000e-15,3.300000e-10,2.515000e-10,2.455000e-10,1.780000e-10,1.580000e-10
6.000000e-15,3.400000e-10,2.555000e-10,2.490000e-10,1.800000e-10,1.600000e-10
6.000000e-15,3.500000e-10,2.595000e-10,2.530000e-10,1.815000e-10,1.615000e-10
6.000000e-15,3.600000e-10,2.630000e-10,2.565000e-10,1.835000e-10,1.635000e-10
6.000000e-15,3.700000e-10,2.670000e-10,2.605000e-10,1.850000e-10,1.655000e-10
6.000000e-15,3.800000e-10,2.710000e-10,2.645000e-10,1.865000e-10,1.670000e-10
6.000000e-15,3.900000e-10,2.750000e-10,2.680000e-10,1.885000e-10,1.690000e-10
6.000000e-15,4.000000e-10,2.790000e-10,2.720000e-10,1.895000e-10,1.710000e-10
6.000000e-15,4.100000e-10,2.825000e-10,2.760000e-10,1.910000e-10,1.730000e-10
6.000000e-15,4.200000e-10,2.870000e-10,2.800000e-10,1.930000e-10,1.745000e-10
